Date	Break	MC	Retrace	Rating	Result	Filter	Day	Month	R	Cumulative R	Week R	News	2nd Break
1-Apr-2025	No	No	No	0	No Trade	No Set up	Monday	Apr		0	0	0	0
2-Apr-2025	yes	Yes	Yes	3	Loss	No Set up	Tuesday	Apr	-1	-1	0	0	0
3-Apr-2025	No	No	No	0	No Trade	No Set up	Wednesday	Apr		-1	0	0	0
4-Apr-2025	yes	Yes	Yes	3	Win	0	Thursday	Apr	2	1	0	0	0
5-Apr-2025	yes	Yes	No	2	No Trade	0	Friday	Apr		1	1	0	0
7-Apr-2025	No	No	No	0	No Trade	No Set up	Monday	Apr		1	0	0	0
8-Apr-2025	No	No	No	0	No Trade	No Set up	Tuesday	Apr		1	0	0	0
9-Apr-2025	No	No	No	0	No Trade	No Set up	Wednesday	Apr	0	1	0	0	0
10-Apr-2025	yes	Yes	No	2	No Trade	No Set up	Thursday	Apr		1	0	CPI	0
11-Apr-2025	No	Yes	Yes	2	No Trade	Avoided Loss	Friday	Apr		1	0	PPI	0
14-Apr-2025	yes	No	Yes	2	No Trade	Avoided Loss	Monday	Apr		1	0	0	0
15-Apr-2025	No	No	No	0	No Trade	No Set up	Tuesday	Apr		1	0	0	0
16-Apr-2025	No	No	No	0	No Trade	No Set up	Wednesday	Apr		1	0	FED	0
17-Apr-2025	No	No	No	0	No Trade	No Set up	Thursday	Apr		1	0	0	0
21-Apr-2025	No	No	No	0	No Trade	No Set up	Monday	Apr		1	0	0	0
22-Apr-2025	yes	No	Yes	2	No Trade	Avoided Loss	Tuesday	Apr		1	0	0	0
23-Apr-2025	No	No	No	0	No Trade	No Set up	Wednesday	Apr		1	0	0	0
24-Apr-2025	yes	Yes	No	2	No Trade	Missed Win	Thursday	Apr	0	1	0	0	0
25-Apr-2025	yes	No	No	1	No Trade	No Set up	Friday	Apr		1	0	0	0
28-Apr-2025	yes	No	No	1	No Trade	No Set up	Monday	Apr		1	0	0	0
29-Apr-2025	yes	Yes	Yes	3	Win	0	Tuesday	Apr	2	3	0	0	0
30-Apr-2025	yes	Yes	Yes	3	Win	0	Wednesday	Apr	2	5	0	0	0
1-May-2025	No	No	No	0	No Trade	Avoided Loss	Thursday	May		5	0	0	0
2-May-2025	No	No	No	0	No Trade	Avoided Loss	Friday	May		5	4	NFP	0
5-May-2025	yes	Yes	Yes	3	Loss	0	Monday	May	-1	4	0	0	0
6-May-2025	yes	Yes	No	2	No Trade	Avoided Loss	Tuesday	May		4	0	0	0
7-May-2025	No	No	No	0	No Trade	No Set up	Wednesday	May		4	0	FOMC	0
8-May-2025	No	No	No	0	No Trade	No Set up	Thursday	May		4	0	0	0
9-May-2025	yes	Yes	Yes	3	Win	0	Friday	May	2	6	-1	0	Yes 
12-May-2025	yes	Yes	No	2	No Trade	Avoided Loss	Monday	May		6		0	0
13-May-2025	yes	Yes	No	2	No Trade	No Set up	Tuesday	May		6		CPI	0
14-May-2025	yes	Yes	Yes	3	Loss	0	Wednesday	May	-1	5		0	Yes 
15-May-2025	yes	No	Yes	2	No Trade	Avoided Loss	Thursday	May		5		FED	0
16-May-2025	No	No	No	0	No Trade	No Set up	Friday	May		5	-1	0	0
19-May-2025	yes	Yes	Yes	3	Win	0	Monday	May	2	7		0	Yes
20-May-2025	yes	No	Yes	2	No Trade	Avoided Loss	Tuesday	May		7		0	0
21-May-2025	No	No	No	0	No Trade	No Set up	Wednesday	May		7		0	0
22-May-2025	yes	Yes	Yes	3	Win	0	Thursday	May	2	9		0	Yes 
23-May-2025	yes	Yes	Yes	3	Loss	0	Friday	May	-1	8	3	0	0
26-May-2025	No	No	No	0	No Trade	No Set up	Monday	May		8		0	0
27-May-2025	yes	Yes	No	2	No Trade	Missed Win	Tuesday	May		8		0	0
28-May-2025	yes	Yes	Yes	3	Win	0	Wednesday	May	2	10		0	Yes 
29-May-2025	yes	No	No	1	No Trade	No Set up	Thursday	May		10		0	0
30-May-2025	yes	Yes	Yes	3	Win	0	Friday	May	2	12	4	0	Yes 
2-Jun-2025	No	No	No	0	No Trade	Missed Win	Monday	Jun		12		FED	0
3-Jun-2025	No	No	No	0	No Trade	Avoided Loss	Tuesday	Jun		12		0	0
4-Jun-2025	No	No	No	0	No Trade	No Set up	Wednesday	Jun		12		0	0
5-Jun-2025	Yes	Yes	Yes	3	Win	0	Thursday	Jun	2	14		0	0
6-Jun-2025	Yes	Yes	No	2	No Trade	No Set up	Friday	Jun		14	2	NFP	0
9-Jun-2025	Yes	Yes	Yes	3	Win	0	Monday	Jun	2	16		0	Yes 
10-Jun-2025	Yes	Yes	No	2	No Trade	No Set up	Tuesday	Jun		16		0	0
11-Jun-2025	Yes	Yes	Yes	3	Loss	0	Wednesday	Jun	-1	15		CPI	0
12-Jun-2025	Yes	Yes	Yes	3	Win	0	Thursday	Jun	2	17		PPI	0
13-Jun-2025	Yes	Yes	Yes	3	Win	0	Friday	Jun	2	19	5	0	0
16-Jun-2025	Yes	Yes	Yes	3	Win	0	Monday	Jun	2	21		0	0
